eco,name,pgn,uci,epd,gambit_name,eco_gambit_name
B00,"Nimzowitsch Defense: Scandinavian Variation, Exchange Variation, Marshall Gambit",1. e4 Nc6 2. d4 d5 3. exd5 Qxd5 4. Nc3,e2e4 b8c6 d2d4 d7d5 e4d5 d8d5 b1c3,r1b1kbnr/ppp1pppp/2n5/3q4/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq -,Marshall Gambit,B00 Marshall Gambit
B00,Nimzowitsch Defense: Wheeler Gambit,1. e4 Nc6 2. b4,e2e4 b8c6 b2b4,r1bqkbnr/pppppppp/2n5/8/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq -,Wheeler Gambit,B00 Wheeler Gambit
B00,Owen Defense: Hekili-Loa Gambit,1. e4 b6 2. d4 c5 3. dxc5 Nc6,e2e4 b7b6 d2d4 c7c5 d4c5 b8c6,r1bqkbnr/p2ppppp/1pn5/2P5/4P3/8/PPP2PPP/RNBQKBNR w KQkq -,Hekili-Loa Gambit,B00 Hekili-Loa Gambit
B00,Owen Defense: Matovinsky Gambit,1. e4 b6 2. d4 Bb7 3. Bd3 f5 4. exf5 Bxg2 5. Qh5+ g6,e2e4 b7b6 d2d4 c8b7 f1d3 f7f5 e4f5 b7g2 d1h5 g7g6,rn1qkbnr/p1ppp2p/1p4p1/5P1Q/3P4/3B4/PPP2PbP/RNB1K1NR w KQkq -,Matovinsky Gambit,B00 Matovinsky Gambit
B00,Owen Defense: Naselwaus Gambit,1. e4 b6 2. d4 Bb7 3. Bg5,e2e4 b7b6 d2d4 c8b7 c1g5,rn1qkbnr/pbpppppp/1p6/6B1/3PP3/8/PPP2PPP/RN1QKBNR b KQkq -,Naselwaus Gambit,B00 Naselwaus Gambit
B00,Owen Defense: Smith Gambit,1. e4 b6 2. d4 Bb7 3. Nf3,e2e4 b7b6 d2d4 c8b7 g1f3,rn1qkbnr/pbpppppp/1p6/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,Smith Gambit,B00 Smith Gambit
B00,Owen Defense: Wind Gambit,1. e4 b6 2. d4 Bb7 3. f3 e5,e2e4 b7b6 d2d4 c8b7 f2f3 e7e5,rn1qkbnr/pbpp1ppp/1p6/4p3/3PP3/5P2/PPP3PP/RNBQKBNR w KQkq -,Wind Gambit,B00 Wind Gambit
B00,Pirc Defense: Roscher Gambit,1. e4 d6 2. d4 Nf6 3. Nf3,e2e4 d7d6 d2d4 g8f6 g1f3,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,Roscher Gambit,B00 Roscher Gambit
B00,Rat Defense: Fuller Gambit,1. e4 d6 2. f4 d5 3. exd5 Nf6,e2e4 d7d6 f2f4 d6d5 e4d5 g8f6,rnbqkb1r/ppp1pppp/5n2/3P4/5P2/8/PPPP2PP/RNBQKBNR w KQkq -,Fuller Gambit,B00 Fuller Gambit
B00,St. George Defense: Zilbermints Gambit,1. e4 a6 2. d4 e5,e2e4 a7a6 d2d4 e7e5,rnbqkbnr/1ppp1ppp/p7/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,Zilbermints Gambit,B00 Zilbermints Gambit
B00,Van Geet Opening: Berlin Gambit,1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5,e2e4 b8c6 d2d4 d7d5 b1c3 d5e4 d4d5,r1bqkbnr/ppp1pppp/2n5/3P4/4p3/2N5/PPP2PPP/R1BQKBNR b KQkq -,Berlin Gambit,B00 Berlin Gambit
B01,Scandinavian Defense: Blackburne Gambit,1. e4 d5 2. exd5 c6 3. dxc6 Nxc6,e2e4 d7d5 e4d5 c7c6 d5c6 b8c6,r1bqkbnr/pp2pppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR w KQkq -,Blackburne Gambit,B01 Blackburne Gambit
B01,Scandinavian Defense: Blackburne-Kloosterboer Gambit,1. e4 d5 2. exd5 c6,e2e4 d7d5 e4d5 c7c6,rnbqkbnr/pp2pppp/2p5/3P4/8/8/PPPP1PPP/RNBQKBNR w KQkq -,Blackburne-Kloosterboer Gambit,B01 Blackburne-Kloosterboer Gambit
B01,Scandinavian Defense: Boehnke Gambit,1. e4 d5 2. exd5 e5 3. dxe6 Bxe6,e2e4 d7d5 e4d5 e7e5 d5e6 c8e6,rn1qkbnr/ppp2ppp/4b3/8/8/8/PPPP1PPP/RNBQKBNR w KQkq -,Boehnke Gambit,B01 Boehnke Gambit
B01,Scandinavian Defense: Icelandic-Palme Gambit,1. e4 d5 2. exd5 Nf6 3. c4 e6,e2e4 d7d5 e4d5 g8f6 c2c4 e7e6,rnbqkb1r/ppp2ppp/4pn2/3P4/2P5/8/PP1P1PPP/RNBQKBNR w KQkq -,Icelandic-Palme Gambit,B01 Icelandic-Palme Gambit
B01,Scandinavian Defense: Kadas Gambit,1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 e5,e2e4 d7d5 e4d5 g8f6 d2d4 c7c6 d5c6 e7e5,rnbqkb1r/pp3ppp/2P2n2/4p3/3P4/8/PPP2PPP/RNBQKBNR w KQkq -,Kadas Gambit,B01 Kadas Gambit
B01,Scandinavian Defense: Kloosterboer Gambit,1. e4 d5 2. exd5 c6 3. dxc6 e5,e2e4 d7d5 e4d5 c7c6 d5c6 e7e5,rnbqkbnr/pp3ppp/2P5/4p3/8/8/PPPP1PPP/RNBQKBNR w KQkq -,Kloosterboer Gambit,B01 Kloosterboer Gambit
B01,"Scandinavian Defense: Main Line, Leonhardt Gambit",1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. b4,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 b2b4,rnb1kbnr/ppp1pppp/8/q7/1P6/2N5/P1PP1PPP/R1BQKBNR b KQkq -,Leonhardt Gambit,B01 Leonhardt Gambit
B01,"Scandinavian Defense: Modern Variation, Wing Gambit",1. e4 d5 2. exd5 Nf6 3. d4 g6 4. c4 b5,e2e4 d7d5 e4d5 g8f6 d2d4 g7g6 c2c4 b7b5,rnbqkb1r/p1p1pp1p/5np1/1p1P4/2PP4/8/PP3PPP/RNBQKBNR w KQkq -,Wing Gambit,B01 Wing Gambit
B01,"Scandinavian Defense: Portuguese Variation, Portuguese Gambit",1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. f3 Bf5,e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 f1b5 b8d7 f2f3 g4f5,r2qkb1r/pppnpppp/5n2/1B1P1b2/3P4/5P2/PPP3PP/RNBQK1NR w KQkq -,Portuguese Gambit,B01 Portuguese Gambit
B01,Scandinavian Defense: Zilbermints Gambit,1. e4 d5 2. b4,e2e4 d7d5 b2b4,rnbqkbnr/ppp1pppp/8/3p4/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq -,Zilbermints Gambit,B01 Zilbermints Gambit
B02,"Alekhine Defense: Hunt Variation, Lasker Simul Gambit",1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 b1c3,rnbqkb1r/pppp1ppp/4p3/2PnP3/2B5/2N5/PP1P1PPP/R1BQK1NR b KQkq -,Lasker Simul Gambit,B02 Lasker Simul Gambit
B02,"Alekhine Defense: Hunt Variation, Matsukevich Gambit",1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Nc3 Nxc3 6. dxc3 d6 7. Bg5,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 b1c3 d5c3 d2c3 d7d6 c1g5,rnbqkb1r/ppp1pppp/3p4/2P1P1B1/8/2P5/PP3PPP/R2QKBNR b KQkq -,Matsukevich Gambit,B02 Matsukevich Gambit
B02,"Alekhine Defense: Hunt Variation, Mikenas Gambit",1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6 7. Nxd5 exd5 8. Bxd5,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 b1c3 d7d6 c3d5 e6d5 c4d5,rnbqkb1r/ppp2ppp/3p4/2PBP3/8/8/PP1P1PPP/R1BQK1NR b KQkq -,Mikenas Gambit,B02 Mikenas Gambit
B02,"Alekhine Defense: Krejcik Variation, Krejcik Gambit",1. e4 Nf6 2. Bc4 Nxe4 3. Bxf7+,e2e4 g8f6 f1c4 f6e4 c4f7,rnbqkb1r/pppppBpp/8/8/4n3/8/PPPP1PPP/RNBQK1NR b KQkq -,Krejcik Gambit,B02 Krejcik Gambit
B02,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",1. e4 Nf6 2. Nc3 d5 3. exd5 c6,e2e4 g8f6 b1c3 d7d5 e4d5 c7c6,rnbqkb1r/pp2pppp/2p2n2/3P4/8/2N5/PPPP1PPP/R1BQKBNR w KQkq -,Geschev Gambit,B02 Geschev Gambit
B02,"Alekhine Defense: Scandinavian Variation, Myers Gambit",1. e4 Nf6 2. Nc3 d5 3. d3 dxe4 4. Bg5,e2e4 g8f6 b1c3 d7d5 d2d3 d5e4 c1g5,rnbqkb1r/ppp1pppp/5n2/6B1/4p3/2NP4/PPP2PPP/R2QKBNR b KQkq -,Myers Gambit,B02 Myers Gambit
B02,Alekhine Defense: Spielmann Gambit,1. e4 Nf6 2. Nc3 d5 3. e5 Nfd7 4. e6,e2e4 g8f6 b1c3 d7d5 e4e5 f6d7 e5e6,rnbqkb1r/pppnpppp/4P3/3p4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq -,Spielmann Gambit,B02 Spielmann Gambit
B02,English Opening: Achilles-Omega Gambit,1. e4 Nf6 2. c4,e2e4 g8f6 c2c4,rnbqkb1r/pppppppp/5n2/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq -,Achilles-Omega Gambit,B02 Achilles-Omega Gambit
B02,"King's Pawn Game: Clam Variation, Radisch Gambit",1. e4 Nf6 2. d3 e5 3. f4 Bc5,e2e4 g8f6 d2d3 e7e5 f2f4 f8c5,rnbqk2r/pppp1ppp/5n2/2b1p3/4PP2/3P4/PPP3PP/RNBQKBNR w KQkq -,Radisch Gambit,B02 Radisch Gambit
B03,"Alekhine Defense: Four Pawns Attack, Cambridge Gambit",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g5,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 g7g5,rnbqkb1r/ppp1pp1p/1n1p4/4P1p1/2PP1P2/8/PP4PP/RNBQKBNR w KQkq -,Cambridge Gambit,B03 Cambridge Gambit
B03,"Alekhine Defense: Modern Variation, Alekhine Gambit",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. Nf3 Bg4 6. Be2,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 g1f3 c8g4 f1e2,rn1qkb1r/ppp1pppp/1n1p4/4P3/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq -,Alekhine Gambit,B03 Alekhine Gambit
B03,Alekhine Defense: O'Sullivan Gambit,1. e4 Nf6 2. e5 Nd5 3. d4 b5,e2e4 g8f6 e4e5 f6d5 d2d4 b7b5,rnbqkb1r/p1pppppp/8/1p1nP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq -,O'Sullivan Gambit,B03 O'Sullivan Gambit
B06,"Modern Defense: Bishop Attack, Bücker Gambit",1. e4 g6 2. d4 Bg7 3. Bc4 b5,e2e4 g7g6 d2d4 f8g7 f1c4 b7b5,rnbqk1nr/p1ppppbp/6p1/1p6/2BPP3/8/PPP2PPP/RNBQK1NR w KQkq -,Bücker Gambit,B06 Bücker Gambit
B06,Modern Defense: Fianchetto Gambit,1. e4 g6 2. d4 f5,e2e4 g7g6 d2d4 f7f5,rnbqkbnr/ppppp2p/6p1/5p2/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,Fianchetto Gambit,B06 Fianchetto Gambit
B06,"Modern Defense: Lizard Defense, Mittenberger Gambit",1. e4 g6 2. d4 Bg7 3. Nc3 d5,e2e4 g7g6 d2d4 f8g7 b1c3 d7d5,rnbqk1nr/ppp1ppbp/6p1/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,Mittenberger Gambit,B06 Mittenberger Gambit
B06,Modern Defense: Masur Gambit,1. e4 g6 2. d4 Nh6 3. Nc3 f5 4. Bxh6 Bxh6 5. exf5 O-O,e2e4 g7g6 d2d4 g8h6 b1c3 f7f5 c1h6 f8h6 e4f5 e8g8,rnbq1rk1/ppppp2p/6pb/5P2/3P4/2N5/PPP2PPP/R2QKBNR w KQ -,Masur Gambit,B06 Masur Gambit
B06,"Modern Defense: Norwegian Defense, Norwegian Gambit",1. e4 g6 2. d4 Nf6 3. e5 Nh5 4. Be2 d6,e2e4 g7g6 d2d4 g8f6 e4e5 f6h5 f1e2 d7d6,rnbqkb1r/ppp1pp1p/3p2p1/4P2n/3P4/8/PPP1BPPP/RNBQK1NR w KQkq -,Norwegian Gambit,B06 Norwegian Gambit
B06,"Modern Defense: Two Knights Variation, Suttles Variation, Tal Gambit",1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 c6 5. Bg5 Qb6 6. Qd2 Qxb2,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 g1f3 c7c6 c1g5 d8b6 d1d2 b6b2,rnb1k1nr/pp2ppbp/2pp2p1/6B1/3PP3/2N2N2/PqPQ1PPP/R3KB1R w KQkq -,Tal Gambit,B06 Tal Gambit
B06,Modern Defense: Westermann Gambit,1. e4 g6 2. d4 Bg7 3. Bd2,e2e4 g7g6 d2d4 f8g7 c1d2,rnbqk1nr/ppppppbp/6p1/8/3PP3/8/PPPB1PPP/RN1QKBNR b KQkq -,Westermann Gambit,B06 Westermann Gambit
B06,Modern Defense: Wind Gambit,1. e4 g6 2. d4 Bg7 3. Bd3,e2e4 g7g6 d2d4 f8g7 f1d3,rnbqk1nr/ppppppbp/6p1/8/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq -,Wind Gambit,B06 Wind Gambit
B06,"Pterodactyl Defense: Central, Quetzalcoatlus Gambit",1. e4 g6 2. d4 Bg7 3. c4 c5 4. Nc3 d6 5. dxc5 Qa5,e2e4 g7g6 d2d4 f8g7 c2c4 c7c5 b1c3 d7d6 d4c5 d8a5,rnb1k1nr/pp2ppbp/3p2p1/q1P5/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq -,Quetzalcoatlus Gambit,B06 Quetzalcoatlus Gambit
B07,"Lion Defense: Anti-Philidor, Lion's Cave, Lion Claw Gambit",1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f4 e5 5. Nf3 exd4 6. Qxd4 c6 7. Bc4 d5,e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 f2f4 e7e5 g1f3 e5d4 d1d4 c7c6 f1c4 d6d5,r1bqkb1r/pp1n1ppp/2p2n2/3p4/2BQPP2/2N2N2/PPP3PP/R1B1K2R w KQkq -,Lion Claw Gambit,B07 Lion Claw Gambit
B10,"Caro-Kann Defense: Accelerated Panov Attack, Van Weersel Attack",1. e4 c6 2. c4 d5 3. cxd5 cxd5 4. Qb3,e2e4 c7c6 c2c4 d7d5 c4d5 c6d5 d1b3,rnbqkbnr/pp2pppp/8/3p4/4P3/1Q6/PP1P1PPP/RNB1KBNR b KQkq -,Caro-Kann: Van Weersel Attack,B10 Caro-Kann: Van Weersel Attack
B10,Caro-Kann Defense: Hector Gambit,1. e4 c6 2. Nc3 d5 3. Nf3 dxe4 4. Ng5,e2e4 c7c6 b1c3 d7d5 g1f3 d5e4 f3g5,rnbqkbnr/pp2pppp/2p5/6N1/4p3/2N5/PPPP1PPP/R1BQKB1R b KQkq -,Hector Gambit,B10 Hector Gambit
B10,"Caro-Kann Defense: Hillbilly Attack, Schaeffer Gambit",1. e4 c6 2. Bc4 d5 3. Bb3 dxe4 4. Qh5,e2e4 c7c6 f1c4 d7d5 c4b3 d5e4 d1h5,rnbqkbnr/pp2pppp/2p5/7Q/4p3/1B6/PPPP1PPP/RNB1K1NR b KQkq -,Schaeffer Gambit,B10 Schaeffer Gambit
B10,"Caro-Kann Defense: Labahn Attack, Double Gambit",1. e4 c6 2. b4 d5 3. b5,e2e4 c7c6 b2b4 d7d5 b4b5,rnbqkbnr/pp2pppp/2p5/1P1p4/4P3/8/P1PP1PPP/RNBQKBNR b KQkq -,Double Gambit,B10 Double Gambit
B10,Caro-Kann Defense: Scorpion-Horus Gambit,1. e4 c6 2. Nc3 d5 3. d3 dxe4 4. Bg5,e2e4 c7c6 b1c3 d7d5 d2d3 d5e4 c1g5,rnbqkbnr/pp2pppp/2p5/6B1/4p3/2NP4/PPP2PPP/R2QKBNR b KQkq -,Scorpion-Horus Gambit,B10 Scorpion-Horus Gambit
B10,"Caro-Kann Defense: Spike Variation, Scorpion-Grob Gambit",1. e4 c6 2. g4 d5 3. Nc3 dxe4 4. d3,e2e4 c7c6 g2g4 d7d5 b1c3 d5e4 d2d3,rnbqkbnr/pp2pppp/2p5/8/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq -,Scorpion-Grob Gambit,B10 Scorpion-Grob Gambit
B10,Caro-Kann Defense: Toikkanen Gambit,1. e4 c6 2. c4 d5 3. e5,e2e4 c7c6 c2c4 d7d5 e4e5,rnbqkbnr/pp2pppp/2p5/3pP3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq -,Toikkanen Gambit,B10 Toikkanen Gambit
B12,"Caro-Kann Defense: Maróczy Variation, Maróczy Gambit",1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 e5 5. Nf3 exd4 6. Bc4,e2e4 c7c6 d2d4 d7d5 f2f3 d5e4 f3e4 e7e5 g1f3 e5d4 f1c4,rnbqkbnr/pp3ppp/2p5/8/2BpP3/5N2/PPP3PP/RNBQK2R b KQkq -,Maróczy Gambit,B12 Maróczy Gambit
B12,"Caro-Kann Defense: Mieses Attack, Landau Gambit",1. e4 c6 2. d4 d5 3. Bd3 Nf6 4. e5 Nfd7 5. e6,e2e4 c7c6 d2d4 d7d5 f1d3 g8f6 e4e5 f6d7 e5e6,rnbqkb1r/pp1npppp/2p1P3/3p4/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq -,Landau Gambit,B12 Landau Gambit
B12,Caro-Kann Defense: Mieses Gambit,1. e4 c6 2. d4 d5 3. Be3,e2e4 c7c6 d2d4 d7d5 c1e3,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq -,Mieses Gambit,B12 Mieses Gambit
B12,Caro-Kann Defense: Ulysses Gambit,1. e4 c6 2. d4 d5 3. Nf3 dxe4 4. Ng5,e2e4 c7c6 d2d4 d7d5 g1f3 d5e4 f3g5,rnbqkbnr/pp2pppp/2p5/6N1/3Pp3/8/PPP2PPP/RNBQKB1R b KQkq -,Ulysses Gambit,B12 Ulysses Gambit
B14,"Caro-Kann Defense: Panov Attack, Fianchetto Defense, Fianchetto Gambit",1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 g6 6. cxd5 Bg7,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 g7g6 c4d5 f8g7,rnbqk2r/pp2ppbp/5np1/3P4/3P4/2N5/PP3PPP/R1BQKBNR w KQkq -,Fianchetto Gambit,B14 Fianchetto Gambit
B15,Caro-Kann Defense: Alekhine Gambit,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 f1d3,rnbqkb1r/pp2pppp/2p2n2/8/3PN3/3B4/PPP2PPP/R1BQK1NR b KQkq -,Alekhine Gambit,B15 Alekhine Gambit
B15,Caro-Kann Defense: Rasa-Studier Gambit,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. f3,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 f2f3,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR b KQkq -,Rasa-Studier Gambit,B15 Rasa-Studier Gambit
B15,Caro-Kann Defense: von Hennig Gambit,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Bc4,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 f1c4,rnbqkbnr/pp2pppp/2p5/8/2BPp3/2N5/PPP2PPP/R1BQK1NR b KQkq -,von Hennig Gambit,B15 von Hennig Gambit
B20,"Caro-Kann Defense: Euwe Attack, Prins Gambit",1. e4 c5 2. b3 d5 3. Bb2,e2e4 c7c5 b2b3 d7d5 c1b2,rnbqkbnr/pp2pppp/8/2pp4/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq -,Prins Gambit,B20 Prins Gambit
B20,"Sicilian Defense: Kronberger Variation, Nemeth Gambit",1. e4 c5 2. Na3 Nc6 3. d4 cxd4 4. Bc4,e2e4 c7c5 b1a3 b8c6 d2d4 c5d4 f1c4,r1bqkbnr/pp1ppppp/2n5/8/2BpP3/N7/PPP2PPP/R1BQK1NR b KQkq -,Nemeth Gambit,B20 Nemeth Gambit
B20,Sicilian Defense: Wing Gambit,1. e4 c5 2. b4,e2e4 c7c5 b2b4,rnbqkbnr/pp1ppppp/8/2p5/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq -,Wing Gambit,B20 Wing Gambit
B20,"Sicilian Defense: Wing Gambit, Abrahams Variation",1. e4 c5 2. b4 cxb4 3. Bb2,e2e4 c7c5 b2b4 c5b4 c1b2,rnbqkbnr/pp1ppppp/8/8/1p2P3/8/PBPP1PPP/RN1QKBNR b KQkq -,Wing Gambit,B20 Wing Gambit
B20,"Sicilian Defense: Wing Gambit, Carlsbad Variation",1. e4 c5 2. b4 cxb4 3. a3 bxa3,e2e4 c7c5 b2b4 c5b4 a2a3 b4a3,rnbqkbnr/pp1ppppp/8/8/4P3/p7/2PP1PPP/RNBQKBNR w KQkq -,Wing Gambit,B20 Wing Gambit
B20,"Sicilian Defense: Wing Gambit, Marienbad Variation",1. e4 c5 2. b4 cxb4 3. a3 d5 4. exd5 Qxd5 5. Bb2,e2e4 c7c5 b2b4 c5b4 a2a3 d7d5 e4d5 d8d5 c1b2,rnb1kbnr/pp2pppp/8/3q4/1p6/P7/1BPP1PPP/RN1QKBNR b KQkq -,Wing Gambit,B20 Wing Gambit
B20,"Sicilian Defense: Wing Gambit, Marshall Variation",1. e4 c5 2. b4 cxb4 3. a3,e2e4 c7c5 b2b4 c5b4 a2a3,rnbqkbnr/pp1ppppp/8/8/1p2P3/P7/2PP1PPP/RNBQKBNR b KQkq -,Wing Gambit,B20 Wing Gambit
B20,"Sicilian Defense: Wing Gambit, Nanu Gambit",1. e4 c5 2. b4 cxb4 3. a3 d5 4. exd5 Qxd5 5. Nf3 e5 6. c4 Qe6 7. Bd3,e2e4 c7c5 b2b4 c5b4 a2a3 d7d5 e4d5 d8d5 g1f3 e7e5 c2c4 d5e6 f1d3,rnb1kbnr/pp3ppp/4q3/4p3/1pP5/P2B1N2/3P1PPP/RNBQK2R b KQkq -,Nanu Gambit,B20 Nanu Gambit
B20,"Sicilian Defense: Wing Gambit, Romanian Defense",1. e4 c5 2. b4 cxb4 3. a3 d5 4. exd5 Qxd5 5. Nf3 e5 6. Bb2 Nc6 7. c4 Qe6,e2e4 c7c5 b2b4 c5b4 a2a3 d7d5 e4d5 d8d5 g1f3 e7e5 c1b2 b8c6 c2c4 d5e6,r1b1kbnr/pp3ppp/2n1q3/4p3/1pP5/P4N2/1B1P1PPP/RN1QKB1R w KQkq -,Wing Gambit,B20 Wing Gambit
B20,"Sicilian Defense: Wing Gambit, Santasiere Variation",1. e4 c5 2. b4 cxb4 3. c4,e2e4 c7c5 b2b4 c5b4 c2c4,rnbqkbnr/pp1ppppp/8/8/1pP1P3/8/P2P1PPP/RNBQKBNR b KQkq c3,Wing Gambit,B20 Wing Gambit
B21,"Bird Opening: Dutch Variation, Batavo Gambit",1. e4 c5 2. f4 d5 3. Nf3 dxe4,e2e4 c7c5 f2f4 d7d5 g1f3 d5e4,rnbqkbnr/pp2pppp/8/2p5/4pP2/5N2/PPPP2PP/RNBQKB1R w KQkq -,Batavo Gambit,B21 Batavo Gambit
B21,Sicilian Defense: Coles Sicilian Gambit,1. e4 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qd1 Nf6 5. Bc4,e2e4 c7c5 d2d4 c5d4 d1d4 b8c6 d4d1 g8f6 f1c4,r1bqkb1r/pp1ppppp/2n2n2/8/2B1P3/8/PPP2PPP/RNBQK1NR b KQkq -,Coles Sicilian Gambit,B21 Coles Sicilian Gambit
B21,Sicilian Defense: Halasz Gambit,1. e4 c5 2. d4 cxd4 3. f4,e2e4 c7c5 d2d4 c5d4 f2f4,rnbqkbnr/pp1ppppp/8/8/3pPP2/8/PPP3PP/RNBQKBNR b KQkq -,Halasz Gambit,B21 Halasz Gambit
B21,"Sicilian Defense: McDonnell Attack, Tal Gambit",1. e4 c5 2. f4 d5 3. exd5 Nf6,e2e4 c7c5 f2f4 d7d5 e4d5 g8f6,rnbqkb1r/pp2pppp/5n2/2pP4/5P2/8/PPPP2PP/RNBQKBNR w KQkq -,Tal Gambit,B21 Tal Gambit
B21,Sicilian Defense: Morphy Gambit,1. d4 c5 2. e4 cxd4 3. Nf3,d2d4 c7c5 e2e4 c5d4 g1f3,rnbqkbnr/pp1ppppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,Morphy Gambit,B21 Morphy Gambit
B21,"Sicilian Defense: Morphy Gambit, Andreaschek Gambit",1. d4 c5 2. e4 cxd4 3. Nf3 e5 4. c3,d2d4 c7c5 e2e4 c5d4 g1f3 e7e5 c2c3,rnbqkbnr/pp1p1ppp/8/4p3/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,Andreaschek Gambit,B21 Andreaschek Gambit
B21,Sicilian Defense: Smith-Morra Gambit,1. e4 c5 2. d4,e2e4 c7c5 d2d4,rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -,Smith-Morra Gambit,B21 Smith-Morra Gambit
B21,Sicilian Defense: Smith-Morra Gambit,1. e4 c5 2. d4 cxd4 3. c3,e2e4 c7c5 d2d4 c5d4 c2c3,rnbqkbnr/pp1ppppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b KQkq -,Smith-Morra Gambit,B21 Smith-Morra Gambit
B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Chicago Defense",1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 d6 5. Nf3 e6 6. Bc4 Nf6 7. O-O a6,e2e4 c7c5 d2d4 c5d4 c2c3 d4c3 b1c3 d7d6 g1f3 e7e6 f1c4 g8f6 e1g1 a7a6,rnbqkb1r/1p3ppp/p2ppn2/8/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,Smith-Morra Gambit,B21 Smith-Morra Gambit
B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Classical Formation",1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 Nc6 5. Nf3 d6 6. Bc4 a6 7. O-O Nf6,e2e4 c7c5 d2d4 c5d4 c2c3 d4c3 b1c3 b8c6 g1f3 d7d6 f1c4 a7a6 e1g1 g8f6,r1bqkb1r/1p2pppp/p1np1n2/8/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,Smith-Morra Gambit,B21 Smith-Morra Gambit
