eco,name,pgn,uci,epd,gambit_name,eco_gambit_name
A45,"Indian Defense: Gibbins-Wiedenhagen Gambit, Oshima Defense",1. d4 Nf6 2. g4 e5,d2d4 g8f6 g2g4 e7e5,rnbqkb1r/pppp1ppp/5n2/4p3/3P2P1/8/PPP1PP1P/RNBQKBNR w KQkq -,Gibbins-Wiedenhagen Gambit,A45 Gibbins-Wiedenhagen Gambit
A45,"Indian Defense: Gibbins-Wiedenhagen Gambit, Stummer Gambit",1. d4 Nf6 2. g4 Nxg4 3. e4 d6 4. Be2 Nf6 5. Nc3,d2d4 g8f6 g2g4 f6g4 e2e4 d7d6 f1e2 g4f6 b1c3,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP1BP1P/R1BQK1NR b KQkq -,Stummer Gambit,A45 Stummer Gambit
A45,Indian Defense: Lazard Gambit,1. d4 Nf6 2. Nd2 e5,d2d4 g8f6 b1d2 e7e5,rnbqkb1r/pppp1ppp/5n2/4p3/3P4/8/PPPNPPPP/R1BQKBNR w KQkq -,Lazard Gambit,A45 Lazard Gambit
A45,Indian Defense: Maddigan Gambit,1. d4 Nf6 2. Nc3 e5,d2d4 g8f6 b1c3 e7e5,rnbqkb1r/pppp1ppp/5n2/4p3/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq -,Maddigan Gambit,A45 Maddigan Gambit
A45,Indian Defense: Omega Gambit,1. d4 Nf6 2. e4,d2d4 g8f6 e2e4,rnbqkb1r/pppppppp/5n2/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -,Omega Gambit,A45 Omega Gambit
A45,"Indian Defense: Omega Gambit, Arafat Gambit",1. d4 Nf6 2. e4 Nxe4 3. Bd3 Nf6 4. Bg5,d2d4 g8f6 e2e4 f6e4 f1d3 e4f6 c1g5,rnbqkb1r/pppppppp/5n2/6B1/3P4/3B4/PPP2PPP/RN1QK1NR b KQkq -,Arafat Gambit,A45 Arafat Gambit
A45,"Indian Defense: Paleface Attack, Blackmar-Diemer Gambit Deferred",1. d4 Nf6 2. f3 d5 3. e4,d2d4 g8f6 f2f3 d7d5 e2e4,rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq -,Blackmar-Diemer Gambit,A45 Blackmar-Diemer Gambit
A45,"Trompowsky Attack: Edge Variation, Hergert Gambit",1. d4 Nf6 2. Bg5 Ne4 3. Bh4 c6 4. Nd2 Qa5 5. c3 Nxd2 6. Qxd2 d5 7. e4,d2d4 g8f6 c1g5 f6e4 g5h4 c7c6 b1d2 d8a5 c2c3 e4d2 d1d2 d7d5 e2e4,rnb1kb1r/pp2pppp/2p5/q2p4/3PP2B/2P5/PP1Q1PPP/R3KBNR b KQkq -,Hergert Gambit,A45 Hergert Gambit
A45,"Trompowsky Attack: Edge Variation, Hergert Gambit",1. d4 Nf6 2. Bg5 Ne4 3. Bh4 d5 4. f3 Nf6 5. Nc3 Bf5 6. e4,d2d4 g8f6 c1g5 f6e4 g5h4 d7d5 f2f3 e4f6 b1c3 c8f5 e2e4,rn1qkb1r/ppp1pppp/5n2/3p1b2/3PP2B/2N2P2/PPP3PP/R2QKBNR b KQkq -,Hergert Gambit,A45 Hergert Gambit
A45,"Trompowsky Attack: Raptor Variation, Hergert Gambit",1. d4 Nf6 2. Bg5 Ne4 3. h4 Nxg5 4. hxg5 e5,d2d4 g8f6 c1g5 f6e4 h2h4 e4g5 h4g5 e7e5,rnbqkb1r/pppp1ppp/8/4p1P1/3P4/8/PPP1PPP1/RN1QKBNR w KQkq -,Hergert Gambit,A45 Hergert Gambit
